month,start_loc,end_loc,book_in_advance
7,Zürich HB,Lugano,1
7,Zürich HB,St. Gallen,1
7,Zürich HB,Thun,1
7,Zürich HB,Visp,1
7,Zürich HB,Winterthur,1
7,Zürich HB,Yverdon-les-Bains,1
7,Zürich HB,Zürich Flughafen,1
7,Frauenfeld,Winterthur,1
7,Delémont,Moutier,1
7,Chur,Sargans,1
7,Biel/Bienne,Biel/Bienne,1
7,Biel/Bienne,Lausanne,1
7,Biel/Bienne,Morges,1
7,Biel/Bienne,Moutier,1
7,Biel/Bienne,Winterthur,1
7,Bern,Basel SBB,1
7,Brig,Spiez,1
7,Brig,Thun,1
7,Basel SBB,Bellinzona,1
7,Basel SBB,Arth-Goldau,1
7,Basel SBB,Laufen,1
7,Basel SBB,Lugano,1
7,Basel SBB,Olten,1
7,Basel SBB,Zürich HB,1
7,Chur,Landquart,1
7,Bellinzona,Flüelen,1
